,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_precision,total triple elements,correct triple elements,incorrect triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_precision,correct_objects,incorrect_objects,objects_precision,correct_predicates,incorrect_predicates,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_precision,correct_certainty,incorrect_certainty,certainty_precision,correct_polarity,incorrect_polarity,polarity_precision,correct_sentiment,incorrect_sentiment,sentiment_precision
0,CFG,./data/statements.txt,87,3,22,65,25.287356321839084,261,142,119,54.406130268199234,64,23,73.5632183908046,50,37,57.47126436781609,28,59,32.18390804597701,0,0,0,0,0,0,0,0,0,0,0,0
1,CFG,./data/verb-questions.txt,48,0,8,40,16.666666666666664,144,83,61,57.638888888888886,38,10,79.16666666666666,27,21,56.25,18,30,37.5,0,0,0,0,0,0,0,0,0,0,0,0
2,CFG,./data/wh-questions.txt,58,2,17,41,29.310344827586203,174,101,73,58.04597701149425,35,23,60.3448275862069,48,10,82.75862068965517,18,40,31.03448275862069,0,0,0,0,0,0,0,0,0,0,0,0
