,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
0,CONVST,./data/conversation_test_examples/test_answer_ellipsis.txt,101,17,1,100,0.9900990099009901,0.9900990099009901,303,65,238,21.45214521452145,21.45214521452145,49,52,48.51485148514851,48.51485148514851,6,95,5.9405940594059405,5.9405940594059405,10,91,9.900990099009901,9.900990099009901,168,84,166.33663366336634,66.66666666666666
1,CONVST,./data/conversation_test_examples/test_coordination.txt,82,11,4,78,4.878048780487805,4.878048780487805,246,70,176,28.455284552845526,28.455284552845526,42,40,51.21951219512195,51.21951219512195,15,67,18.29268292682927,18.29268292682927,13,69,15.853658536585366,15.853658536585366,142,71,173.17073170731706,66.66666666666666
2,CONVST,./data/conversation_test_examples/test_coreference.txt,78,19,1,77,1.282051282051282,1.282051282051282,234,25,209,10.683760683760683,10.683760683760683,14,64,17.94871794871795,17.94871794871795,10,68,12.82051282051282,12.82051282051282,1,77,1.282051282051282,1.282051282051282,118,59,151.28205128205127,66.66666666666666
3,CONVST,./data/conversation_test_examples/test_declarative_statements.txt,91,8,1,90,1.098901098901099,1.098901098901099,273,68,205,24.90842490842491,24.90842490842491,49,42,53.84615384615385,53.84615384615385,13,78,14.285714285714285,14.285714285714285,6,85,6.593406593406594,6.593406593406594,166,83,182.41758241758242,66.66666666666666
4,CONVST,./data/conversation_test_examples/test_declarative_statements_negated.txt,79,16,0,79,0.0,0.0,237,58,179,24.47257383966245,24.47257383966245,38,41,48.10126582278481,48.10126582278481,14,65,17.72151898734177,17.72151898734177,6,73,7.59493670886076,7.59493670886076,125,64,158.22784810126583,66.13756613756614
5,CONVST,./data/conversation_test_examples/test_explicit_no_answers.txt,47,15,0,47,0.0,0.0,141,29,112,20.56737588652482,20.56737588652482,19,28,40.42553191489361,40.42553191489361,5,42,10.638297872340425,10.638297872340425,5,42,10.638297872340425,10.638297872340425,63,33,134.04255319148936,65.625
6,CONVST,./data/conversation_test_examples/test_explicit_yes_answers.txt,59,11,1,58,1.694915254237288,1.694915254237288,177,42,135,23.728813559322035,23.728813559322035,29,30,49.152542372881356,49.152542372881356,4,55,6.779661016949152,6.779661016949152,9,50,15.254237288135593,15.254237288135593,96,48,162.71186440677968,66.66666666666666
7,CONVST,./data/conversation_test_examples/test_full.txt,79,16,1,78,1.265822784810126,1.265822784810126,237,57,180,24.050632911392405,24.050632911392405,39,40,49.36708860759494,49.36708860759494,10,69,12.658227848101266,12.658227848101266,8,71,10.126582278481013,10.126582278481013,126,63,159.49367088607596,66.66666666666666
8,CONVST,./data/conversation_test_examples/test_single_utterances.txt,106,3,5,101,4.716981132075472,4.716981132075472,318,127,191,39.937106918238996,39.937106918238996,86,20,81.13207547169812,81.13207547169812,25,81,23.58490566037736,23.58490566037736,16,90,15.09433962264151,15.09433962264151,205,104,193.39622641509433,66.34304207119742
