,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_precision,total triple elements,correct triple elements,incorrect triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_precision,correct_objects,incorrect_objects,objects_precision,correct_predicates,incorrect_predicates,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_precision,correct_certainty,incorrect_certainty,certainty_precision,correct_polarity,incorrect_polarity,polarity_precision,correct_sentiment,incorrect_sentiment,sentiment_precision
0,llm_qwen2.5,./data/perspective.txt,27,0,13,14,48.148148148148145,81,63,18,77.77777777777779,22,5,81.48148148148148,20,7,74.07407407407408,21,6,77.77777777777779,35,28,55.55555555555556,5,16,23.809523809523807,21,0,100.0,9,12,42.857142857142854
0,llm_llama3.2,./data/perspective.txt,27,0,11,16,40.74074074074074,81,48,33,59.25925925925925,15,12,55.55555555555556,18,9,66.66666666666666,15,12,55.55555555555556,29,34,46.03174603174603,5,16,23.809523809523807,15,6,71.42857142857143,9,12,42.857142857142854
0,CONV_albert-base-v2,./data/perspective.txt,27,14,2,25,7.407407407407406,81,25,56,30.864197530864196,10,17,37.03703703703704,10,17,37.03703703703704,5,22,18.51851851851852,18,12,60.0,10,0,100.0,4,6,40.0,4,6,40.0
0,CFG,./data/perspective.txt,27,0,7,20,25.925925925925924,81,36,45,44.44444444444444,15,12,55.55555555555556,14,13,51.85185185185185,7,20,25.925925925925924,42,21,66.66666666666666,15,6,71.42857142857143,17,4,80.95238095238095,10,11,47.61904761904761
0,CONV_google-bert_bert-base-multilingual-cased,./data/perspective.txt,27,4,5,22,18.51851851851852,81,43,38,53.086419753086425,17,10,62.96296296296296,18,9,66.66666666666666,8,19,29.629629629629626,27,24,52.94117647058824,13,4,76.47058823529412,8,9,47.05882352941176,6,11,35.294117647058826
