,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_precision,total triple elements,correct triple elements,incorrect triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_precision,correct_objects,incorrect_objects,objects_precision,correct_predicates,incorrect_predicates,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_precision,correct_certainty,incorrect_certainty,certainty_precision,correct_polarity,incorrect_polarity,polarity_precision,correct_sentiment,incorrect_sentiment,sentiment_precision
0,CONVST,./data/conversation_test_examples/test_answer_ellipsis.txt,101,15,1,100,0.9900990099009901,303,66,237,21.782178217821784,53,48,52.475247524752476,6,95,5.9405940594059405,7,94,6.9306930693069315,172,86,66.66666666666666,86,0,100,86,0,100.0,0,86,0
1,CONVST,./data/conversation_test_examples/test_coordination.txt,82,14,5,77,6.097560975609756,246,81,165,32.926829268292686,48,34,58.536585365853654,18,64,21.951219512195124,15,67,18.29268292682927,136,68,66.66666666666666,68,0,100,68,0,100.0,0,68,0
2,CONVST,./data/conversation_test_examples/test_coreference.txt,78,10,1,77,1.282051282051282,234,40,194,17.094017094017094,21,57,26.923076923076923,16,62,20.51282051282051,3,75,3.846153846153846,136,68,66.66666666666666,68,0,100,68,0,100.0,0,68,0
3,CONVST,./data/conversation_test_examples/test_declarative_statements.txt,91,8,1,90,1.098901098901099,273,77,196,28.205128205128204,53,38,58.24175824175825,17,74,18.681318681318682,7,84,7.692307692307692,165,84,66.26506024096386,83,0,100,82,1,98.79518072289156,0,83,0
4,CONVST,./data/conversation_test_examples/test_declarative_statements_negated.txt,79,10,1,78,1.265822784810126,237,66,171,27.848101265822784,43,36,54.43037974683544,16,63,20.253164556962027,7,72,8.860759493670885,135,72,65.21739130434783,69,0,100,66,3,95.65217391304348,0,69,0
5,CONVST,./data/conversation_test_examples/test_explicit_no_answers.txt,47,9,1,46,2.127659574468085,141,33,108,23.404255319148938,24,23,51.06382978723404,4,43,8.51063829787234,5,42,10.638297872340425,75,39,65.78947368421053,38,0,100,37,1,97.36842105263158,0,38,0
6,CONVST,./data/conversation_test_examples/test_explicit_yes_answers.txt,59,5,1,58,1.694915254237288,177,42,135,23.728813559322035,32,27,54.23728813559322,3,56,5.084745762711865,7,52,11.864406779661017,108,54,66.66666666666666,54,0,100,54,0,100.0,0,54,0
7,CONVST,./data/conversation_test_examples/test_full.txt,79,9,1,78,1.265822784810126,237,57,180,24.050632911392405,41,38,51.89873417721519,10,69,12.658227848101266,6,73,7.59493670886076,140,70,66.66666666666666,70,0,100,70,0,100.0,0,70,0
